"x","y"
500,500
499,500
497,498
497,495
495,494
495,492
496,491
494,490
494,490
494,490
495,488
493,485
493,482
492,485
489,483
493,483
492,485
494,486
496,485
491,485
491,487
490,485
487,485
487,487
487,485
489,485
492,485
490,483
490,478
490,477
490,480
490,483
493,485
493,483
493,485
493,488
494,484
494,483
496,483
495,482
495,482
493,482
492,480
490,480
489,483
492,483
489,484
491,486
491,483
491,482
492,483
493,481
492,483
493,485
494,484
495,486
493,485
493,481
492,483
491,482
492,485
492,483
490,482
490,484
490,480
489,483
491,484
493,485
493,481
493,486
491,483
489,482
489,485
490,485
489,484
491,484
488,481
490,481
488,481
490,483
488,481
490,483
490,479
490,483
491,485
490,483
493,483
494,483
494,486
494,487
491,484
489,484
490,482
488,483
492,483
494,481
491,484
494,487
494,484
494,483
493,486
494,487
494,485
497,485
493,485
490,485
488,485
491,484
490,482
490,479
487,479
486,480
483,477
482,475
483,475
483,478
482,479
479,482
478,481
480,482
482,483
480,481
479,483
481,482
479,483
480,481
478,482
481,482
481,485
479,484
482,484
480,482
480,482
479,483
481,485
479,483
481,484
483,486
481,486
481,484
480,482
481,484
482,483
481,484
479,482
478,481
481,484
480,481
480,484
480,481
481,480
480,482
481,484
482,484
481,482
482,483
482,484
481,485
478,484
478,484
476,483
477,484
477,486
476,487
477,486
475,488
475,486
476,487
477,486
475,487
476,486
476,487
475,488
475,488
474,487
475,488
474,487
474,486
476,488
475,487
476,486
476,486
476,486
476,487
475,488
476,487
475,488
476,489
475,487
476,488
475,488
474,487
472,485
471,487
471,488
473,486
475,488
474,486
472,486
471,487
469,485
470,486
470,483
467,484
467,484
469,484
467,483
467,485
468,484
469,485
468,486
466,488
467,488
466,487
467,487
467,486
467,486
467,484
469,485
470,485
472,486
471,487
472,486
471,486
471,484
472,485
471,486
471,488
473,490
472,490
472,493
470,491
469,490
467,489
467,491
468,493
466,493
469,493
468,495
467,495
467,497
467,499
469,498
470,499
470,502
469,503
468,502
468,502
469,501
472,501
473,501
474,501
472,501
474,501
470,501
471,502
471,500
471,502
470,500
471,500
472,501
470,499
472,501
474,501
472,502
474,500
472,498
471,496
472,498
474,498
472,496
474,498
472,498
474,496
474,496
472,498
472,496
474,498
474,500
473,500
472,499
471,498
472,499
472,499
472,501
473,501
474,502
472,501
471,502
470,500
470,502
471,500
472,500
473,501
474,501
474,501
471,501
470,502
469,501
467,499
469,500
470,502
470,500
471,502
471,500
473,501
474,499
471,502
470,500
469,499
470,499
470,501
470,499
469,498
467,498
465,499
465,500
463,500
465,499
464,500
466,499
469,499
467,499
469,500
469,501
473,501
474,502
474,501
475,499
473,500
471,502
472,503
472,502
473,500
471,501
471,500
472,499
472,501
472,502
472,503
473,504
474,503
476,505
477,506
475,508
473,508
472,507
473,508
470,511
472,511
470,510
472,511
474,511
476,512
479,512
477,510
479,511
476,511
478,510
478,511
476,510
476,512
475,511
472,511
472,513
471,511
472,511
470,511
472,510
473,512
474,514
476,513
476,510
477,513
476,511
478,511
477,512
474,512
474,513
476,513
477,511
476,513
474,511
474,515
474,512
474,514
476,513
478,515
479,511
477,511
478,514
479,514
480,513
478,512
476,512
478,510
477,511
475,512
477,512
478,514
477,512
477,515
477,511
477,513
477,510
478,509
477,512
478,510
476,512
479,512
477,513
478,511
479,514
477,512
476,513
474,511
472,511
474,511
475,513
472,513
470,511
470,509
470,512
470,509
467,511
467,511
467,509
467,512
467,512
466,513
468,511
469,512
469,513
471,515
470,517
471,517
471,515
471,517
470,518
470,516
471,515
470,514
468,514
468,514
466,516
468,514
465,514
464,513
465,514
468,514
468,513
467,514
465,514
463,512
463,511
463,509
462,508
461,507
462,509
463,510
463,510
465,510
467,512
465,510
465,510
467,512
468,510
466,510
466,511
466,511
465,511
467,509
467,508
469,508
471,510
472,511
470,512
472,512
474,514
476,514
474,512
472,510
469,510
472,510
473,511
472,512
474,512
474,515
476,515
478,512
478,515
476,513
478,511
478,509
477,511
477,514
476,512
478,511
480,513
478,512
480,512
477,512
477,510
475,508
477,507
475,507
473,507
473,509
474,509
475,508
476,509
478,510
476,512
474,512
476,512
476,510
474,513
475,515
474,514
476,512
474,513
474,515
472,516
474,518
473,519
476,519
475,518
475,517
477,517
477,515
478,513
478,515
479,512
478,510
478,515
476,516
477,515
477,512
479,514
478,512
480,512
478,510
476,510
478,512
479,510
476,510
478,510
477,513
478,512
479,514
477,512
479,514
477,514
479,514
477,513
474,513
477,511
476,513
478,513
478,510
476,512
477,511
474,512
474,515
474,512
474,515
474,511
474,513
476,512
474,512
474,514
476,512
478,510
479,510
477,511
476,510
478,511
477,513
478,514
476,515
478,515
476,513
474,514
476,512
478,512
479,510
477,513
477,510
478,512
477,513
474,513
474,515
474,513
474,515
471,515
473,515
474,514
473,513
476,512
478,512
478,510
479,510
477,511
477,513
475,511
475,513
477,512
474,512
475,514
477,512
480,512
480,513
478,515
477,511
474,511
477,512
479,514
480,514
481,514
481,516
482,516
483,517
481,517
481,520
481,518
481,519
481,523
481,524
480,524
482,522
480,523
477,520
476,519
473,519
475,520
475,518
477,519
478,521
